,Año,Trimestre,Provincia,Tecnologia,Conexiones,Zona,Penetracion cada 100 hab,Penetracion cada 100 hogares
303,2019,4,Río Negro,ADSL,50000,Sur,6.56,26.24
304,2019,4,Salta,ADSL,63000,Noroeste,4.38,17.52
305,2019,4,San Juan,ADSL,41000,Oeste,5.01,20.04
306,2019,4,San Luis,ADSL,9000,Oeste,1.67,6.68
307,2019,4,Santa Cruz,ADSL,13000,Sur,3.9,15.6
308,2019,4,Santa Fe,ADSL,312000,Centro,9.18,36.72
309,2019,4,Santiago Del Estero,ADSL,25000,Noreste,2.37,9.48
310,2019,4,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
311,2019,4,Tucumán,ADSL,147000,Noroeste,5.98,23.92
312,2019,3,Buenos Aires,ADSL,1000000,Centro,5.69,22.76
313,2019,3,Capital Federal,ADSL,300000,Centro,9.62,38.48
314,2019,3,Catamarca,ADSL,24000,Noroeste,6.06,24.24
315,2019,3,Chaco,ADSL,50000,Noreste,4.39,17.56
316,2019,3,Chubut,ADSL,37000,Sur,6.14,24.56
317,2019,3,Córdoba,ADSL,308000,Centro,9.31,37.24
318,2019,3,Corrientes,ADSL,53000,Noreste,4.43,17.72
319,2019,3,Entre Ríos,ADSL,95000,Centro,6.66,26.64
320,2019,3,Formosa,ADSL,22000,Noreste,4.15,16.6
321,2019,3,Jujuy,ADSL,33000,Noroeste,4.14,16.56
322,2019,3,La Pampa,ADSL,19000,Oeste,5.19,20.76
323,2019,3,La Rioja,ADSL,14000,Oeste,4.44,17.76
324,2019,3,Mendoza,ADSL,149000,Oeste,8.56,34.24
325,2019,3,Misiones,ADSL,54000,Noreste,4.22,16.88
326,2019,3,Neuquén,ADSL,43000,Sur,5.92,23.68
327,2019,3,Río Negro,ADSL,67000,Sur,8.79,35.16
328,2019,3,Salta,ADSL,66000,Noroeste,4.58,18.32
329,2019,3,San Juan,ADSL,52000,Oeste,6.36,25.44
330,2019,3,San Luis,ADSL,13000,Oeste,2.41,9.64
331,2019,3,Santa Cruz,ADSL,11000,Sur,3.3,13.2
332,2019,3,Santa Fe,ADSL,319000,Centro,9.38,37.52
333,2019,3,Santiago Del Estero,ADSL,25000,Noreste,2.37,9.48
334,2019,3,Tierra Del Fuego,ADSL,20000,Sur,10.53,42.12
335,2019,3,Tucumán,ADSL,151000,Noroeste,6.14,24.56
336,2019,2,Buenos Aires,ADSL,1000000,Centro,5.69,22.76
337,2019,2,Capital Federal,ADSL,310000,Centro,9.94,39.76
338,2019,2,Catamarca,ADSL,26000,Noroeste,6.57,26.28
339,2019,2,Chaco,ADSL,51000,Noreste,4.47,17.88
340,2019,2,Chubut,ADSL,37000,Sur,6.14,24.56
341,2019,2,Córdoba,ADSL,315000,Centro,9.52,38.08
342,2019,2,Corrientes,ADSL,54000,Noreste,4.51,18.04
343,2019,2,Entre Ríos,ADSL,97000,Centro,6.8,27.2
344,2019,2,Formosa,ADSL,22000,Noreste,4.15,16.6
345,2019,2,Jujuy,ADSL,33000,Noroeste,4.14,16.56
346,2019,2,La Pampa,ADSL,19000,Oeste,5.19,20.76
347,2019,2,La Rioja,ADSL,15000,Oeste,4.76,19.04
348,2019,2,Mendoza,ADSL,149000,Oeste,8.56,34.24
349,2019,2,Misiones,ADSL,55000,Noreste,4.3,17.2
350,2019,2,Neuquén,ADSL,43000,Sur,5.92,23.68
351,2019,2,Río Negro,ADSL,68000,Sur,8.92,35.68
352,2019,2,Salta,ADSL,69000,Noroeste,4.79,19.16
353,2019,2,San Juan,ADSL,52000,Oeste,6.36,25.44
354,2019,2,San Luis,ADSL,11000,Oeste,2.04,8.16
355,2019,2,Santa Cruz,ADSL,11000,Sur,3.3,13.2
356,2019,2,Santa Fe,ADSL,325000,Centro,9.56,38.24
357,2019,2,Santiago Del Estero,ADSL,24000,Noreste,2.28,9.12
358,2019,2,Tierra Del Fuego,ADSL,20000,Sur,10.53,42.12
359,2019,2,Tucumán,ADSL,153000,Noroeste,6.22,24.88
360,2019,1,Buenos Aires,ADSL,1000000,Centro,5.69,22.76
361,2019,1,Capital Federal,ADSL,328000,Centro,10.51,42.04
362,2019,1,Catamarca,ADSL,27000,Noroeste,6.82,27.28
